fiscal_year,month,department,budget_revenue,actual_revenue,budget_expense,actual_expense,budgeted_volume,actual_volume
2024,1,Cardiology,520000,498000,430000,425000,3500,3350
2024,1,Orthopedics,680000,720000,550000,570000,4200,4450
2024,1,Emergency,950000,940000,820000,835000,8500,8420
2024,1,Radiology,380000,365000,290000,285000,5200,4990
2024,2,Cardiology,520000,535000,430000,440000,3500,3600
2024,2,Orthopedics,680000,695000,550000,558000,4200,4300
2024,2,Emergency,950000,975000,820000,840000,8500,8700
2024,2,Radiology,380000,370000,290000,282000,5200,5050
2024,3,Cardiology,520000,510000,430000,428000,3500,3440
2024,3,Orthopedics,680000,750000,550000,580000,4200,4650
2024,3,Emergency,950000,960000,820000,832000,8500,8600
2024,3,Radiology,380000,390000,290000,295000,5200,5300
2024,4,Cardiology,520000,525000,430000,432000,3500,3520
2024,4,Orthopedics,680000,665000,550000,545000,4200,4120
2024,4,Emergency,950000,985000,820000,850000,8500,8800
2024,4,Radiology,380000,375000,290000,288000,5200,5100
